Country,Year,Population,LifeExp,GDP,Code,Region,Area,Coastline,Government
China,1900,395184556,32,894,CN,Asia,9596960,14500,people's republic
China,1910,417830774,32,991,CN,Asia,9596960,14500,people's republic
China,1920,462750597,32,1012,CN,Asia,9596960,14500,people's republic
China,1930,481222579,33.26984,1055,CN,Asia,9596960,14500,people's republic
China,1940,509858820,33.30311174,841,CN,Asia,9596960,14500,people's republic
China,1950,544112923,39.9994,535,CN,Asia,9596960,14500,people's republic
China,1951,558820362,40.936264,582,CN,Asia,9596960,14500,people's republic
China,1952,570764965,41.873128,631,CN,Asia,9596960,14500,people's republic
China,1953,580886559,42.809992,692,CN,Asia,9596960,14500,people's republic
China,1954,589955812,44.663056,694,CN,Asia,9596960,14500,people's republic
China,1955,598574241,46.1666,706,CN,Asia,9596960,14500,people's republic
China,1956,607167524,48.536704,736,CN,Asia,9596960,14500,people's republic
China,1957,615992182,48.587368,780,CN,Asia,9596960,14500,people's republic
China,1958,625155626,48.143792,889,CN,Asia,9596960,14500,people's republic
China,1959,634649557,36.336856,958,CN,Asia,9596960,14500,people's republic
China,1960,644450173,29.51112,889,CN,Asia,9596960,14500,people's republic
China,1961,654625069,31.930824,558,CN,Asia,9596960,14500,people's republic
China,1962,665426760,42.274688,567,CN,Asia,9596960,14500,people's republic
China,1963,677332765,49.619432,635,CN,Asia,9596960,14500,people's republic
China,1964,690932043,50.988016,713,CN,Asia,9596960,14500,people's republic
China,1965,706590947,53.26108,772,CN,Asia,9596960,14500,people's republic
China,1966,724490033,54.364464,826,CN,Asia,9596960,14500,people's republic
China,1967,744365635,55.889368,719,CN,Asia,9596960,14500,people's republic
China,1968,765570668,56.860432,669,CN,Asia,9596960,14500,people's republic
China,1969,787191243,58.367416,732,CN,Asia,9596960,14500,people's republic
China,1970,808510713,60,848,CN,Asia,9596960,14500,people's republic
China,1971,829367784,60.6,876,CN,Asia,9596960,14500,people's republic
China,1972,849787991,61.1,843,CN,Asia,9596960,14500,people's republic
China,1973,869474823,61.7,894,CN,Asia,9596960,14500,people's republic
China,1974,888132761,62.1,888,CN,Asia,9596960,14500,people's republic
China,1975,905580445,62.6,920,CN,Asia,9596960,14500,people's republic
China,1976,921688199,62.4,891,CN,Asia,9596960,14500,people's republic
China,1977,936554514,63.3,904,CN,Asia,9596960,14500,people's republic
China,1978,950537317,63.7,1016,CN,Asia,9596960,14500,people's republic
China,1979,964155176,64,1059,CN,Asia,9596960,14500,people's republic
China,1980,977837433,64.5,1073,CN,Asia,9596960,14500,people's republic
China,1981,991553829,64.8,1099,CN,Asia,9596960,14500,people's republic
China,1982,1005328574,65.2,1175,CN,Asia,9596960,14500,people's republic
China,1983,1019698475,65.6,1229,CN,Asia,9596960,14500,people's republic
China,1984,1035328572,66,1456,CN,Asia,9596960,14500,people's republic
China,1985,1052622410,66.4,1557,CN,Asia,9596960,14500,people's republic
China,1986,1071834975,66.8,1604,CN,Asia,9596960,14500,people's republic
China,1987,1092646739,67.2,1652,CN,Asia,9596960,14500,people's republic
China,1988,1114162025,67.5,1597,CN,Asia,9596960,14500,people's republic
China,1989,1135128009,67.7,1474,CN,Asia,9596960,14500,people's republic
China,1990,1154605773,68,1516,CN,Asia,9596960,14500,people's republic
China,1991,1172327831,68.3,1634,CN,Asia,9596960,14500,people's republic
China,1992,1188450231,68.6,1845,CN,Asia,9596960,14500,people's republic
China,1993,1202982955,68.9,2078,CN,Asia,9596960,14500,people's republic
China,1994,1216067023,69.3,2323,CN,Asia,9596960,14500,people's republic
China,1995,1227841281,69.6,2551,CN,Asia,9596960,14500,people's republic
China,1996,1238234851,69.9,2775,CN,Asia,9596960,14500,people's republic
China,1997,1247259143,70.3,3000,CN,Asia,9596960,14500,people's republic
China,1998,1255262566,70.7,3205,CN,Asia,9596960,14500,people's republic
China,1999,1262713651,71.1,3419,CN,Asia,9596960,14500,people's republic
China,2000,1269974572,71.5,3678,CN,Asia,9596960,14500,people's republic
China,2001,1277188787,71.9,3955,CN,Asia,9596960,14500,people's republic
China,2002,1284349938,72.4,4285,CN,Asia,9596960,14500,people's republic
China,2003,1291485488,72.9,4685,CN,Asia,9596960,14500,people's republic
China,2004,1298573031,73.4,5127,CN,Asia,9596960,14500,people's republic
China,2005,1305600630,73.9,5675,CN,Asia,9596960,14500,people's republic
China,2006,1312600877,74.4,6360,CN,Asia,9596960,14500,people's republic
China,2007,1319625197,74.9,7225,CN,Asia,9596960,14500,people's republic
China,2008,1326690636,75.1,7880,CN,Asia,9596960,14500,people's republic
China,2009,1333807063,75.6,8565,CN,Asia,9596960,14500,people's republic
China,2010,1340968737,75.9,9430,CN,Asia,9596960,14500,people's republic
China,2011,1348174478,76.1,10274,CN,Asia,9596960,14500,people's republic
China,2012,1355386952,76.3,11017,CN,Asia,9596960,14500,people's republic
China,2013,1362514260,76.5,11805,CN,Asia,9596960,14500,people's republic
China,2014,1369435670,76.7,12609,CN,Asia,9596960,14500,people's republic
China,2015,1376048943,76.9,13334,CN,Asia,9596960,14500,people's republic
China,2016,1385023827,77.37,12407,CN,Asia,9596960,14500,people's republic
